SNP,Chromosome,Position,DF,t Value,std Error,effect
BOPA2_12_10950,2,135.6,NA,NA,NA,-0.555937642469563
SCRI_RS_172784,2,135.6,NA,NA,NA,-0.555937642469563
SCRI_RS_204274,2,135.6,NA,NA,NA,-0.519360471461334
SCRI_RS_234587,2,135.6,NA,NA,NA,-0.555937642469563
SCRI_RS_44952,2,135.6,NA,NA,NA,-0.562108268867302
SCRI_RS_152664,2,138.6,NA,NA,NA,-0.532353987908715
SCRI_RS_156013,2,138.6,NA,NA,NA,-0.532353987908715
SCRI_RS_174077,2,138.6,NA,NA,NA,-0.532353987908715
SCRI_RS_194653,2,138.6,NA,NA,NA,-0.532353987908715
SCRI_RS_116590,2,140.8,NA,NA,NA,-0.464465911887789
SCRI_RS_172136,2,142.6,NA,NA,NA,-0.475044729299693
SCRI_RS_73620,2,142.6,NA,NA,NA,-0.475044729299693
SCRI_RS_170209,2,144.4,NA,NA,NA,-0.458406398273616
SCRI_RS_139106,2,146.4,NA,NA,NA,-0.122860786595081
SCRI_RS_139115,2,146.4,NA,NA,NA,-0.122860786595081
SCRI_RS_142982,2,146.4,NA,NA,NA,-0.122860786595081
SCRI_RS_139737,2,148.2,NA,NA,NA,-0.0974064619308738
